total_pop,family_12_17_estimate_sum,median_income,college_associate_degree_est,bachelors_degree_est,normalised_pop,normalised_income,heavily_asian,highest_price_premier
987,41,46719,0.548,0,0.008507448,0.178665223,FALSE,FALSE
2876,182,40109,0.355,0.044,0.024973196,0.151958368,FALSE,FALSE
61311,3634,56656,0.426,0.084,0.534330518,0.218814393,TRUE,FALSE
12385,426,84817,0.602,0.108,0.107859801,0.332595292,TRUE,FALSE
369,39,39821,0.625,0,0.00312056,0.150794741,FALSE,FALSE
7114,623,49073,0.492,0.036,0.06191435,0.188176257,FALSE,FALSE
24454,1786,97269,0.6,0.079,0.213061025,0.382905997,TRUE,FALSE
42650,3244,73099,0.471,0.065,0.371669151,0.28525022,TRUE,FALSE
172,22,41023,0.571,0,0.00140338,0.155651267,FALSE,FALSE
1601,139,44698,0.547,0.227,0.01385947,0.170499632,FALSE,FALSE
2239,204,43281,0.329,0,0.019420692,0.164774426,FALSE,FALSE
1563,132,29890,0.18,0,0.013528238,0.110669813,FALSE,FALSE
325,21,56429,0.727,0,0.002737027,0.217897229,FALSE,FALSE
2830,247,44883,0.297,0,0.024572231,0.171247101,FALSE,FALSE
2927,212,41891,0.249,0.08,0.025417745,0.15915831,FALSE,FALSE
1510,100,51607,0.475,0,0.013066255,0.198414558,FALSE,FALSE
14675,1056,43161,0.435,0.148,0.127820925,0.164289581,FALSE,FALSE
13352,840,24898,0.323,0.026,0.1162888,0.090500279,FALSE,FALSE
2893,356,47992,0.366,0.006,0.025121379,0.183808616,FALSE,FALSE
15368,1142,44234,0.382,0.091,0.133861562,0.1686249,FALSE,FALSE
2551,160,49432,0.717,0.028,0.022140286,0.18962675,FALSE,FALSE
2873,112,44082,0.044,0.099,0.024947046,0.168010764,FALSE,FALSE
13297,784,46187,0.555,0.051,0.115809384,0.176515745,FALSE,FALSE
20456,719,50789,0.747,0.066,0.178211867,0.195109534,FALSE,FALSE
8153,150,62755,0.428,0.357,0.070970947,0.243456619,FALSE,FALSE
30613,1610,42102,0.468,0.075,0.26674686,0.160010828,FALSE,FALSE
23272,1425,26361,0.644,0.023,0.202757947,0.096411342,FALSE,FALSE
35632,1781,46001,0.481,0.035,0.310495716,0.175764236,FALSE,FALSE
22103,1009,47378,0.424,0.028,0.192568186,0.181327828,FALSE,FALSE
14664,1853,124591,0.386,0.186,0.127725042,0.493297024,TRUE,FALSE
15312,860,78902,0.438,0.399,0.13337343,0.308696495,TRUE,FALSE
46074,4288,58311,0.389,0.092,0.401514953,0.225501208,FALSE,FALSE
42364,3149,78335,0.408,0.148,0.36917619,0.306405605,FALSE,FALSE
32764,4274,91365,0.468,0.119,0.28549637,0.359051644,FALSE,FALSE
43216,3575,81187,0.402,0.24,0.376602774,0.317928744,FALSE,FALSE
35127,2017,69237,0.343,0.357,0.306093809,0.269646306,FALSE,FALSE
68776,5295,43520,0.46,0.05,0.599400295,0.165740075,FALSE,FALSE
597,36,36711,0.258,0,0.005107956,0.138229186,FALSE,FALSE
394,34,33229,0.377,0,0.003338476,0.124160613,FALSE,FALSE
328,25,39375,0,0,0.002763177,0.148992735,FALSE,FALSE
1537,106,46064,0.471,0.042,0.013301605,0.17601878,FALSE,FALSE
1291,86,31062,0.226,0,0.011157309,0.115405128,FALSE,FALSE
1661,144,64740,0,0,0.014382469,0.251476756,FALSE,FALSE
5614,371,40337,0.389,0.032,0.048839378,0.152879573,FALSE,FALSE
123,10,29091,0,0,0.000976265,0.107441556,FALSE,FALSE
19019,1006,42849,0.702,0.042,0.165686044,0.163028986,FALSE,FALSE
4172,305,62056,0.361,0.082,0.036269972,0.240632399,FALSE,FALSE
6603,581,45162,0.266,0.035,0.057460143,0.172374365,FALSE,FALSE
2381,208,50662,0.389,0.023,0.020658456,0.194596407,FALSE,FALSE
6566,525,60913,0.387,0.16,0.057137627,0.236014254,FALSE,FALSE
13537,689,44449,0.366,0.059,0.11790138,0.16949358,FALSE,FALSE
25852,1219,46515,0.383,0.019,0.225246899,0.177840987,FALSE,FALSE
32452,1361,49446,0.507,0.063,0.282776775,0.189683316,FALSE,FALSE
20240,553,43246,0.367,0.131,0.176329071,0.164633013,FALSE,FALSE
3779,0,7708,0.839,0.002,0.032844329,0.021046295,FALSE,FALSE
1237,156,67500,0.509,0.055,0.01068661,0.262628181,FALSE,FALSE
255,7,48438,0.6,0,0.002126862,0.185610621,FALSE,FALSE
44791,1593,38545,0.768,0.093,0.390331494,0.145639227,FALSE,FALSE
14737,1022,70097,0.583,0.118,0.128361357,0.273121025,FALSE,FALSE
4347,322,44813,0.419,0.183,0.037795385,0.170964275,FALSE,FALSE
2906,304,56486,0.41,0.064,0.025234696,0.21812753,FALSE,FALSE
